Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
set/15;FNDE;153173 / 15253;1562096473
set/15;INCRA;373001 / 37201;110041323
set/15;SENAI;33.564.543/0001-90;134680242
set/15;SESI;33.641.358/0001-52;193913488
set/15;SENAC;33.469.172/0001-68;204643886
set/15;SESC;33.469.164/0001-11;368111074
set/15;SEBRAE;00.330.854/0001-45;258191826
set/15;EMBRATUR;35.842.428/0001-66;0
set/15;DPC;852001 / 00001;12785671
set/15;ANAC;122002 / 00001;18450493
set/15;SENAR;37.138.245/0001-90;58350822
set/15;SEST;73.471.989/0001-95;40999695
set/15;SENAT;73.471.963/0001-47;25886746
set/15;SESCOOP;03.087.543/0001-86;23494676
set/15;SDR;420013 / 00001;19406435
set/15;APEX-BR;05.507.500/0001-38;37300570
set/15;ABDI;07.200.966/0001-11;5343856
out/15;FNDE;153173 / 15253;1475278041
out/15;INCRA;373001 / 37201;102912717
out/15;SENAI;33.564.543/0001-90;125160250
out/15;SESI;33.641.358/0001-52;179631610
out/15;SENAC;33.469.172/0001-68;193903575
out/15;SESC;33.469.164/0001-11;347121597
out/15;SEBRAE;00.330.854/0001-45;243374577
out/15;EMBRATUR;35.842.428/0001-66;0
out/15;DPC;852001 / 00001;12095445
out/15;ANAC;122002 / 00001;15653426
out/15;SENAR;37.138.245/0001-90;55014695
out/15;SEST;73.471.989/0001-95;37047706
out/15;SENAT;73.471.963/0001-47;23350397
out/15;SESCOOP;03.087.543/0001-86;23668256
out/15;SDR;420013 / 00001;18149574
out/15;APEX-BR;05.507.500/0001-38;35119139
out/15;ABDI;07.200.966/0001-11;5031336
nov/15;FNDE;153173 / 15253;1418418705
nov/15;INCRA;373001 / 37201;99203321
nov/15;SENAI;33.564.543/0001-90;120055039
nov/15;SESI;33.641.358/0001-52;172125628
nov/15;SENAC;33.469.172/0001-68;189277058
nov/15;SESC;33.469.164/0001-11;330379586
nov/15;SEBRAE;00.330.854/0001-45;235550305
nov/15;EMBRATUR;35.842.428/0001-66;0
nov/15;DPC;852001 / 00001;12170236
nov/15;ANAC;122002 / 00001;15515840
